animal_id,sex,birth_date,sire_id,dam_id,mgmt_group,wt_birth,wt_100d,wt_wean,wt_200d,wt_300d,preg_scan,lambs_born,lambs_weaned,fec_count,footrot_score,dag_score,gfw,micron,staple_len,temperament,cull_flag,cull_reason
A001,Ewe,2023-08-28,S09,D14,Mob1,4.9,26.8,26.5,67.0,59.0,1.0,1.0,1.0,308,3,5,4.54,17.3,89.7,5,0,-
A002,Ewe,2023-09-10,S06,D11,Mob1,3.3,25.5,26.2,50.8,49.2,1.0,1.0,1.0,283,0,2,4.29,18.5,103.3,1,0,-
A003,Ram,2023-09-19,S01,D08,Mob2,4.1,33.8,36.1,44.0,48.9,,,,300,5,0,4.92,19.0,82.8,2,0,-
A004,Ewe,2023-09-03,S09,D10,Mob2,3.0,22.8,34.2,50.6,65.5,1.0,1.0,0.0,320,4,1,4.08,18.1,99.2,5,0,-
A005,Ram,2023-07-12,S04,D03,Mob1,4.5,28.1,23.6,43.1,68.8,,,,305,1,0,5.34,16.9,93.9,5,0,-
A006,Ewe,2023-08-09,S06,D16,Mob3,3.1,33.4,26.6,54.4,52.0,1.0,1.0,1.0,326,4,3,5.17,17.7,98.6,5,0,-
A007,Ewe,2023-08-15,S07,D16,Mob1,4.4,27.3,37.9,58.7,62.0,0.0,0.0,0.0,302,3,0,5.16,17.2,91.7,1,0,-
A008,Ewe,2023-09-14,S01,D07,Mob1,2.6,29.3,29.8,45.3,62.1,1.0,1.0,1.0,310,0,1,4.92,15.7,94.7,1,1,-
A009,Ram,2023-09-24,S06,D06,Mob2,4.4,28.2,44.4,57.9,34.4,,,,303,2,2,5.74,18.9,88.8,5,0,-
A010,Ewe,2023-08-20,S08,D06,Mob3,4.9,32.6,35.1,40.3,67.8,1.0,1.0,1.0,311,3,3,5.22,17.8,101.2,2,1,-
A011,Ram,2023-09-28,S05,D10,Mob2,5.1,23.9,36.7,60.6,44.0,,,,273,4,2,5.09,17.3,86.5,3,0,-
A012,Ram,2023-09-09,S02,D09,Mob2,4.9,36.0,36.5,56.7,61.6,,,,310,0,3,4.39,16.8,102.9,5,0,-
A013,Ewe,2023-07-22,S06,D20,Mob3,3.8,34.3,38.2,73.3,45.6,1.0,1.0,0.0,299,2,1,5.36,19.6,81.6,1,0,-
A014,Ram,2023-09-25,S04,D18,Mob3,5.5,32.5,23.0,48.6,63.8,,,,341,5,4,5.25,18.4,95.5,4,0,-
A015,Ewe,2023-08-04,S03,D12,Mob3,4.4,20.7,25.0,36.4,47.9,1.0,1.0,1.0,291,0,2,5.69,18.5,112.8,2,1,Low growth
A016,Ram,2023-07-13,S06,D01,Mob1,3.7,31.2,32.5,43.2,59.4,,,,297,2,0,4.8,18.2,96.4,1,0,-
A017,Ram,2023-08-14,S05,D03,Mob2,3.1,30.2,29.3,54.3,57.6,,,,320,5,2,5.26,19.6,103.3,5,1,-
A018,Ewe,2023-08-18,S04,D19,Mob3,5.6,28.4,30.5,46.0,59.2,1.0,1.0,1.0,329,5,5,4.6,19.1,107.7,5,0,-
A019,Ewe,2023-07-13,S09,D03,Mob3,5.7,28.4,36.3,46.0,53.9,0.0,0.0,0.0,317,5,5,4.87,17.5,96.4,5,1,-
A020,Ewe,2023-09-06,S04,D09,Mob3,5.3,30.4,28.4,54.0,62.3,0.0,0.0,0.0,335,1,2,4.7,17.3,116.1,3,1,-
A021,Ram,2023-09-08,S03,D05,Mob2,4.0,24.7,30.2,38.9,60.1,,,,292,4,1,4.78,16.7,107.8,3,0,-
A022,Ewe,2023-09-30,S08,D18,Mob1,4.9,29.0,34.3,45.9,60.4,1.0,1.0,1.0,304,3,1,5.25,18.6,79.7,5,0,-
A023,Ewe,2023-08-10,S04,D08,Mob3,4.2,30.5,34.3,56.6,54.0,2.0,2.0,2.0,272,5,3,5.47,20.3,105.7,5,0,-
A024,Ewe,2023-08-23,S09,D12,Mob3,4.3,30.5,36.6,62.7,68.2,2.0,2.0,1.0,296,0,1,5.25,16.1,95.8,5,0,-
A025,Ram,2023-08-06,S02,D08,Mob3,4.6,33.7,43.9,42.0,36.2,,,,311,2,5,4.82,17.6,95.0,4,0,-
A026,Ram,2023-07-23,S02,D12,Mob1,4.9,33.6,27.2,56.0,54.4,,,,271,4,5,3.77,15.7,101.0,5,1,-
A027,Ewe,2023-08-18,S04,D19,Mob1,6.1,33.1,33.1,66.0,73.1,2.0,2.0,2.0,325,3,4,5.91,17.0,89.0,2,0,-
A028,Ewe,2023-09-13,S05,D02,Mob1,4.7,39.1,41.4,45.1,50.7,2.0,2.0,1.0,339,0,1,5.25,16.5,96.9,1,0,-
A029,Ewe,2023-08-24,S09,D04,Mob3,4.7,24.2,37.1,49.0,62.5,1.0,1.0,1.0,288,5,3,5.14,18.0,95.5,5,0,-
A030,Ram,2023-08-28,S10,D12,Mob3,4.3,21.3,24.7,53.6,69.9,,,,293,1,1,5.77,19.9,96.2,3,0,-
